phase_duration,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
10.0,3,engagement_g00_d0.25,2993,1649,0.550952,103.874511,46.644618,48.644618,48.644618,0.000000,0.000000
10.0,3,engagement_g00_d0.5,2993,1588,0.530571,103.881912,48.765148,50.765148,50.765148,0.000000,0.000000
10.0,3,engagement_g00_d1.0,2993,1472,0.491814,104.387632,53.048309,55.048309,55.048309,0.000000,0.000000
10.0,3,engagement_g00_d2.0,2993,1225,0.409288,104.916881,61.975625,63.975625,63.975625,0.000000,0.000000
10.0,3,engagement_g00_d5.0,2993,466,0.155697,103.735854,87.584532,89.584532,89.584532,0.000000,0.000000
10.0,3,engagement_g00_d10.0,2993,19,0.006348,104.123197,103.462208,105.462208,105.462208,0.000000,0.000000
10.0,3,engagement_g05_d0.0,2993,1807,0.603742,103.403304,40.974380,42.974380,42.974380,0.000000,0.000000
10.0,3,engagement_g05_d0.25,2993,1645,0.549616,103.798242,46.749092,48.749092,48.749092,0.000000,0.000000
10.0,3,engagement_g05_d0.5,2993,1586,0.529903,103.785458,48.789221,50.789221,50.789221,0.000000,0.000000
10.0,3,engagement_g05_d1.0,2993,1471,0.491480,104.356774,53.067494,55.067494,55.067494,0.000000,0.000000
10.0,3,engagement_g05_d2.0,2993,1225,0.409288,104.916881,61.975625,63.975625,63.975625,0.000000,0.000000
10.0,3,engagement_g05_d5.0,2993,466,0.155697,103.735854,87.584532,89.584532,89.584532,0.000000,0.000000
10.0,3,engagement_g05_d10.0,2993,20,0.006682,106.191494,105.481895,107.481895,107.481895,0.000000,0.000000
10.0,3,oracle_a1,2993,2455,0.820247,42.115757,7.570423,9.570423,9.570423,0.000000,0.000000
10.0,4,static,2947,163,0.055310,106.357026,100.474367,102.474367,102.474367,0.000000,0.000000
